n time_ms first_val last_val
1024 0.00084 -0.2323 -13.2277
2048 0.00798 0.900385 17.4146
4096 0.00699 0.0586755 -20.1383
8192 0.01533 0.558473 -32.2465
16384 0.035 0.264452 -57.9233
32768 0.068911 0.26624 173.928
65536 0.138062 0.729925 -77.0197
131072 0.281724 0.582465 -73.9538
262144 0.570688 -0.385177 -95.0019
524288 1.1363 0.305932 -475.636
1048576 2.32806 -0.936224 140.558
2097152 4.50617 -0.656731 714.719
4194304 9.1374 0.654116 -91.8868
8388608 17.1565 0.298349 1407.49
16777216 35.7516 -0.347682 2427.29
33554432 69.3533 0.861242 784.69
67108864 135.962 -0.662986 -7888.61
134217728 265.131 -0.916486 -7937.95
268435456 620.165 0.492008 11042.4
536870912 8172.97 -0.388681 -23374.1
1073741824 15620.9 0.431373 -208.18
