t time_ms first_val last_val
1 80.867 1.22431 -14.5946
2 48.0504 -3.16966 18.017
3 37.3638 -11.3703 14.1475
4 24.2674 4.94231 -11.5122
5 21.2168 0.922531 -11.3438
6 17.0143 10.2673 -1.19623
7 15.076 6.65512 -1.64822
8 13.4903 15.9402 10.702
9 12.4534 26.8377 -20.6123
10 17.8775 6.48049 2.21559
11 16.6917 1.02584 7.08858
12 15.8172 8.96759 -1.13363
13 14.8083 -3.47138 -16.5401
14 13.8367 2.65954 -11.0479
15 13.2343 -11.1228 -8.63175
16 12.4124 12.2621 -27.1351
17 12.0217 12.8143 5.62082
18 14.1244 -11.7365 10.2772
19 22.2157 -15.2024 14.0089
20 15.2489 2.28889 -1.95692
