t time_ms first_val last_val
1 80.747 15.1968 3.78373
2 45.6838 8.16765 6.1106
3 31.5714 -3.44384 15.8019
4 24.9912 -11.442 0.343142
5 21.696 10.2309 6.62844
6 18.7077 15.7128 -14.4535
7 13.6083 29.8019 3.70866
8 14.0526 -7.43442 -8.91317
9 19.8764 28.4969 8.17004
10 18.055 10.9186 16.7369
11 16.9476 -13.5892 -15.3535
12 15.6482 -7.69922 -5.45575
13 14.761 -19.563 12.9891
14 13.9402 -3.94155 -17.7228
15 13.2553 8.9808 -0.117225
16 12.3596 -8.763 11.5387
17 11.8977 15.6563 2.94365
18 18.6508 19.9285 -0.250172
19 20.9487 3.01438 2.84839
20 22.0418 3.62085 -3.38858
