i time_ms first_val last_val
10 51.306496 -0.340368 4.013183
11 1.150976 0.488788 4.703280
12 0.498464 -2.412606 -3.645992
13 0.591872 1.410707 -7.216665
14 0.512864 0.253849 3.970853
15 1.382496 7.113301 -0.045270
16 0.499136 3.203408 2.208130
17 1.303424 2.225619 0.676191
18 3.748704 0.954232 2.036374
19 0.603584 -5.841925 3.654379
20 4.692224 5.028427 -3.418711
21 6.375296 -7.075148 -2.450241
22 2.105632 2.348721 0.471350
23 3.104736 -3.158611 0.004049
24 1.795296 -6.186743 1.570900
25 3.243456 0.168181 0.039088
26 6.203872 1.061839 3.386014
27 12.448672 0.311271 -8.007367
28 34.407551 2.226994 7.643844
29 55.294304 -1.906165 1.971237
